Frame,Gaze
6311,Task
6312,Task
6313,Task
6314,Task
6315,Task
6316,Robot
6317,Robot
6318,Robot
6319,Robot
6320,Robot
6321,Task
6322,Task
6323,Task
6325,Task
6326,Task
6327,Task
6328,Task
6329,Task
6330,Task
6331,Task
6332,Task
6333,Task
6334,Robot
6335,Robot
6336,Robot
6337,Task
6338,Task
6339,Task
6340,Task
6341,Task
6342,Task
6343,Task
6344,Task
6345,Task
6346,Task
6347,Task
6348,Task
6349,Task
6350,Task
6351,Task
6352,Task
6353,Task
6354,Task
6355,Task
6356,Task
6357,Task
6358,Task
6359,Task
6360,Task
6361,Task
6362,Task
6363,Task
6364,Task
6365,Task
6366,Task
6367,Robot
6368,Robot
6369,Robot
6370,Task
6371,Task
6372,Task
6373,Task
6374,Task
6375,Task
6376,Robot
6377,Robot
6378,Robot
6379,Task
6380,Task
6381,Robot
6382,Robot
6383,Task
6384,Task
6385,Task
6386,Task
6387,Task
6388,Task
6389,Task
6390,Robot
6391,Robot
6392,Robot
6393,Robot
6394,Robot
6395,Robot
6396,Robot
6397,Robot
6398,Task
6399,Task
6400,Task
6401,Task
6402,Task
6403,Task
6404,Task
6405,Task
6406,Task
6407,Task
6408,Task
6409,Task
6410,Task
6411,Task
6412,Task
6413,Task
6414,Task
6415,Robot
6416,Robot
6417,Robot
6418,Robot
6419,Robot
6420,Robot
6421,Robot
6450,Task
6451,Task
6452,Task
6453,Task
6454,Task
6455,Robot
6456,Robot
6457,Robot
6458,Robot
6459,Robot
6460,Task
6461,Task
6462,Task
6463,Task
6464,Task
6465,Task
6466,Task
6467,Task
6468,Task
6469,Task
6470,Task
6471,Task
6472,Task
6473,Task
6474,Task
6475,Task
6476,Task
6477,Task
6478,Task
6479,Task
6480,Task
6481,Task
6482,Task
6483,Task
6484,Task
6485,Task
6486,Task
6487,Task
6488,Task
6490,Task
6491,Task
6492,Task
6493,Task
6494,Task
6495,Task
6496,Task
6497,Task
6498,Task
6499,Task
6500,Task
6501,Task
6503,Robot
6504,Robot
6505,Task
6506,Task
6507,Task
6508,Task
6509,Task
6510,Task
6511,Task
6512,Task
6513,Task
6514,Task
6515,Task
6516,Task
6517,Task
6518,Task
6519,Task
6520,Task
6521,Task
6522,Task
6523,Task
6524,Task
6525,Task
6526,Task
6527,Task
6528,Task
6529,Task
6530,Task
6531,Task
6532,Task
6533,Task
6534,Task
6535,Task
6536,Task
6537,Task
6538,Task
6539,Task
6540,Task
6541,Task
6542,Task
6543,Task
6544,Task
6545,Task
6546,Task
6547,Task
6548,Task
6549,Task
6550,Task
6551,Task
6552,Task
6553,Task
6554,Task
6555,Task
6556,Task
6557,Task
6558,Task
6559,Task
6560,Task
6561,Task
6562,Task
6563,Task
6564,Task
6565,Robot
6566,Task
6567,Task
6568,Task
6569,Task
6570,Task
6571,Task
6572,Task
6573,Task
6574,Task
6575,Task
6576,Task
6577,Task
6578,Task
6579,Task
6580,Task
6581,Task
6582,Task
6583,Task
6584,Task
6585,Task
6586,Task
6587,Task
6588,Task
6589,Task
6590,Task
6591,Task
6592,Task
6593,Task
6594,Robot
6595,Robot
6596,Robot
6597,Robot
6598,Robot
6599,Task
6600,Task
6601,Task
6602,Robot
6603,Robot
6604,Task
6605,Task
6606,Task
6607,Task
6608,Task
6609,Task
6610,Task
6611,Task
6613,Task
6614,Task
6615,Task
6616,Task
6617,Task
6618,Task
6619,Task
6620,Task
6621,Task
6622,Task
6623,Task
6624,Task
6626,Task
6627,Task
6628,Task
6629,Task
6630,Task
6631,Task
6632,Task
6633,Task
6634,Task
6635,Task
6636,Task
6637,Task
6638,Task
6639,Task
6640,Task
6641,Task
6642,Task
6643,Task
6644,Task
6645,Task
6646,Task
6647,Task
6648,Task
6649,Task
6650,Task
6651,Task
6652,Task
6653,Task
6654,Task
6655,Task
6656,Robot
6657,Task
6658,Task
6659,Task
6660,Task
6661,Task
6662,Task
6663,Task
6665,Task
6666,Robot
6667,Task
6668,Task
6669,Task
6670,Task
6671,Task
6672,Task
6673,Task
6674,Task
6675,Task
6676,Task
6677,Robot
6678,Robot
6679,Robot
6680,Robot
6681,Robot
6682,Robot
6683,Robot
6684,Robot
6685,Robot
6686,Robot
6688,Robot
6689,Robot
6690,Task
6691,Task
6692,Task
6693,Task
6694,Task
6695,Task
6696,Task
6697,Task
6698,Task
6699,Task
6700,Task
6701,Task
6702,Robot
6703,Robot
6704,Robot
6705,Task
6706,Task
6707,Task
6708,Task
6709,Task
6710,Task
6711,Task
6712,Task
6713,Task
6714,Task
6715,Task
6716,Task
6717,Task
6719,Task
6720,Task
6721,Task
6722,Task
6723,Robot
6724,Robot
6725,Robot
6726,Robot
6727,Robot
6728,Robot
6729,Robot
6730,Task
6731,Task
6732,Task
6733,Task
6734,Task
6735,Task
6736,Task
6737,Task
6738,Task
6739,Task
6740,Task
6741,Task
6742,Task
6743,Task
6744,Task
6745,Task
6746,Task
6747,Task
6748,Task
6749,Robot
6750,Robot
6751,Robot
6752,Robot
6753,Robot
6754,Robot
6755,Robot
6756,Robot
6757,Robot
6758,Robot
6759,Robot
6760,Robot
6761,Robot
